reason,n,field,contrast,year
observed_edited,3419059,prepreg_diabetes,prepregnancy,2022
item_unknown,4611,prior_living4,prepregnancy,2022
observed_edited,3414448,prior_living4,prepregnancy,2022
item_unknown,53555,education4,prepregnancy,2022
observed_edited,3365504,education4,prepregnancy,2022
item_unknown,66037,bmi,prepregnancy,2022
observed_edited,3353022,bmi,prepregnancy,2022
observed_edited,3419059,prior_preterm,prepregnancy,2022
observed_edited,3419059,prior_cesarean,prepregnancy,2022
item_unknown,6811,nativity,prepregnancy,2022
observed_edited,3412248,nativity,prepregnancy,2022
item_unknown,28000,race_ethnicity,prepregnancy,2023
observed_edited,3320220,race_ethnicity,prepregnancy,2023
observed_edited,3348220,prepreg_diabetes,prepregnancy,2023
item_unknown,3452,prior_living4,prepregnancy,2023
observed_edited,3344768,prior_living4,prepregnancy,2023
item_unknown,56667,education4,prepregnancy,2023
observed_edited,3291553,education4,prepregnancy,2023
item_unknown,72113,bmi,prepregnancy,2023
observed_edited,3276107,bmi,prepregnancy,2023
observed_edited,3348220,prior_preterm,prepregnancy,2023
observed_edited,3348220,prior_cesarean,prepregnancy,2023
item_unknown,6718,nativity,prepregnancy,2023
observed_edited,3341502,nativity,prepregnancy,2023
item_unknown,30099,race_ethnicity,prepregnancy,2024
observed_edited,3340054,race_ethnicity,prepregnancy,2024
observed_edited,3370153,prepreg_diabetes,prepregnancy,2024
item_unknown,5454,prior_living4,prepregnancy,2024
observed_edited,3364699,prior_living4,prepregnancy,2024
item_unknown,58845,education4,prepregnancy,2024
observed_edited,3311308,education4,prepregnancy,2024
item_unknown,75847,bmi,prepregnancy,2024
observed_edited,3294306,bmi,prepregnancy,2024
observed_edited,3370153,prior_preterm,prepregnancy,2024
observed_edited,3370153,prior_cesarean,prepregnancy,2024
item_unknown,6198,nativity,prepregnancy,2024
observed_edited,3363955,nativity,prepregnancy,2024
