contrast,A,variable,level,kind,n,sum,sum_sq,denominator,mean,sd,pct,display
primary,1,race_ethnicity,Hispanic,categorical,89665,0,0,1480543,,,6.05622396647716,"89,665 (6.1%)"
primary,1,prepreg_diabetes,No,categorical,1465367,0,0,1480543,,,98.9749706695449,"1,465,367 (99.0%)"
primary,1,prepreg_diabetes,Yes,categorical,15176,0,0,1480543,,,1.02502933045511,"15,176 (1.0%)"
primary,1,prior_living4,0,categorical,419610,0,0,1480543,,,28.3416287132491,"419,610 (28.3%)"
primary,1,prior_living4,1,categorical,429852,0,0,1480543,,,29.0334019342903,"429,852 (29.0%)"
primary,1,prior_living4,2,categorical,319209,0,0,1480543,,,21.5602653891174,"319,209 (21.6%)"
primary,1,prior_living4,3 or more,categorical,311872,0,0,1480543,,,21.0647039633432,"311,872 (21.1%)"
primary,1,bmi,"",continuous,1480543,40622924.2999937,1193953423.16992,1480543,27.4378550977538,7.32076207410604,,27.4 (7.3)
primary,1,education4,Less than high school,categorical,357364,0,0,1480543,,,24.1373604143885,"357,364 (24.1%)"
primary,1,education4,High school or GED,categorical,649977,0,0,1480543,,,43.9012578493161,"649,977 (43.9%)"
primary,1,education4,Some college or associate,categorical,424531,0,0,1480543,,,28.6740067664364,"424,531 (28.7%)"
primary,1,education4,Bachelor or higher,categorical,48671,0,0,1480543,,,3.28737496985903,"48,671 (3.3%)"
primary,1,prior_preterm,No,categorical,1378376,0,0,1480543,,,93.0993561146147,"1,378,376 (93.1%)"
primary,1,prior_preterm,Yes,categorical,102167,0,0,1480543,,,6.90064388538529,"102,167 (6.9%)"
primary,1,prior_cesarean,No,categorical,1208297,0,0,1480543,,,81.6117465011148,"1,208,297 (81.6%)"
primary,1,prior_cesarean,Yes,categorical,272246,0,0,1480543,,,18.3882534988852,"272,246 (18.4%)"
primary,1,nativity,Born in 50 US states,categorical,1449851,0,0,1480543,,,97.9269767916231,"1,449,851 (97.9%)"
primary,1,nativity,Born elsewhere including territories,categorical,30692,0,0,1480543,,,2.07302320837693,"30,692 (2.1%)"
primary,1,prepreg_dose5,1-5,categorical,317148,0,0,1480543,,,21.4210597057971,"317,148 (21.4%)"
primary,1,prepreg_dose5,6-10,categorical,507114,0,0,1480543,,,34.2518927177394,"507,114 (34.3%)"
primary,1,prepreg_dose5,11-20,categorical,552857,0,0,1480543,,,37.3415024082381,"552,857 (37.3%)"
primary,1,prepreg_dose5,21-40,categorical,88326,0,0,1480543,,,5.96578417513034,"88,326 (6.0%)"
primary,1,prepreg_dose5,41 or more,categorical,15098,0,0,1480543,,,1.0197609930951,"15,098 (1.0%)"
broad,0,age,"",continuous,28095965,820128173,24867675997,28095965,29.1902475319855,5.74693146357022,,29.2 (5.7)
broad,0,year_factor,2016,categorical,3209814,0,0,28095965,,,11.424466111059,"3,209,814 (11.4%)"
broad,0,year_factor,2017,categorical,3162920,0,0,28095965,,,11.2575595819542,"3,162,920 (11.3%)"
broad,0,year_factor,2018,categorical,3133905,0,0,28095965,,,11.1542885250605,"3,133,905 (11.2%)"
broad,0,year_factor,2019,categorical,3114238,0,0,28095965,,,11.0842891497053,"3,114,238 (11.1%)"
broad,0,year_factor,2020,categorical,3032188,0,0,28095965,,,10.7922543326061,"3,032,188 (10.8%)"
broad,0,year_factor,2021,categorical,3102358,0,0,28095965,,,11.0420054979425,"3,102,358 (11.0%)"
broad,0,year_factor,2022,categorical,3131589,0,0,28095965,,,11.1460453485047,"3,131,589 (11.1%)"
broad,0,year_factor,2023,categorical,3085454,0,0,28095965,,,10.9818402749292,"3,085,454 (11.0%)"
broad,0,year_factor,2024,categorical,3123499,0,0,28095965,,,11.1172511782386,"3,123,499 (11.1%)"
broad,0,race_ethnicity,Non-Hispanic White,categorical,14107373,0,0,28095965,,,50.2113844461296,"14,107,373 (50.2%)"
broad,0,race_ethnicity,Non-Hispanic Black,categorical,3893877,0,0,28095965,,,13.8592036258587,"3,893,877 (13.9%)"
broad,0,race_ethnicity,Non-Hispanic AIAN,categorical,183931,0,0,28095965,,,0.654652723264711,"183,931 (0.7%)"
broad,0,race_ethnicity,Non-Hispanic Asian,categorical,1888411,0,0,28095965,,,6.72128898224354,"1,888,411 (6.7%)"
broad,0,race_ethnicity,Non-Hispanic NHOPI,categorical,71451,0,0,28095965,,,0.254310538897667,"71,451 (0.3%)"
broad,0,race_ethnicity,Non-Hispanic multiple race,categorical,617909,0,0,28095965,,,2.19928021692795,"617,909 (2.2%)"
broad,0,race_ethnicity,Hispanic,categorical,7333013,0,0,28095965,,,26.0998794666779,"7,333,013 (26.1%)"
broad,0,prepreg_diabetes,No,categorical,27849307,0,0,28095965,,,99.1220874598897,"27,849,307 (99.1%)"
broad,0,prepreg_diabetes,Yes,categorical,246658,0,0,28095965,,,0.877912540110297,"246,658 (0.9%)"
broad,0,prior_living4,0,categorical,11243228,0,0,28095965,,,40.0172337914003,"11,243,228 (40.0%)"
broad,0,prior_living4,1,categorical,9016628,0,0,28095965,,,32.0922523928258,"9,016,628 (32.1%)"
broad,0,prior_living4,2,categorical,4599393,0,0,28095965,,,16.3702973006978,"4,599,393 (16.4%)"
broad,0,prior_living4,3 or more,categorical,3236716,0,0,28095965,,,11.5202165150761,"3,236,716 (11.5%)"
broad,0,bmi,"",continuous,28095965,765015140.297542,22061706309.6925,28095965,27.2286479676901,6.62024086155653,,27.2 (6.6)
broad,0,education4,Less than high school,categorical,3179972,0,0,28095965,,,11.3182515709996,"3,179,972 (11.3%)"
broad,0,education4,High school or GED,categorical,7036676,0,0,28095965,,,25.0451479420621,"7,036,676 (25.0%)"
broad,0,education4,Some college or associate,categorical,7619966,0,0,28095965,,,27.1212111774769,"7,619,966 (27.1%)"
broad,0,education4,Bachelor or higher,categorical,10259351,0,0,28095965,,,36.5153893094613,"10,259,351 (36.5%)"
broad,0,prior_preterm,No,categorical,27189916,0,0,28095965,,,96.7751632663267,"27,189,916 (96.8%)"
broad,0,prior_preterm,Yes,categorical,906049,0,0,28095965,,,3.22483673367332,"906,049 (3.2%)"
broad,0,prior_cesarean,No,categorical,23880261,0,0,28095965,,,84.9953400781927,"23,880,261 (85.0%)"
broad,0,prior_cesarean,Yes,categorical,4215704,0,0,28095965,,,15.0046599218073,"4,215,704 (15.0%)"
broad,0,nativity,Born in 50 US states,categorical,21335969,0,0,28095965,,,75.9396197994979,"21,335,969 (75.9%)"
