"age","target_n","risk0","risk1","rd","rr","se_risk0","se_risk1","se_rd","se_log_rr","risk0_lower","risk0_upper","risk1_lower","risk1_upper","rd_lower","rd_upper","rr_lower","rr_upper","risk0_per1000","risk1_per1000","rd_per1000","risk0_lower_per1000","risk0_upper_per1000","risk1_lower_per1000","risk1_upper_per1000","rd_lower_per1000","rd_upper_per1000","rd_bonferroni_lower_per1000","rd_bonferroni_upper_per1000","sparse_age_arm","contrast","covariance"
27,130884,0.0821979906897571,0.0747008873649504,-0.00749710332480671,0.90879213394518,0.000631414992395373,0.000361287641026281,0.000733314674868366,0.00915364036949807,0.0809688914499886,0.0834440534972818,0.0739958545958629,0.075412090623379,-0.00893437367688341,-0.00605983297273002,0.892633057921549,0.925243733011309,82.1979906897571,74.7008873649504,-7.49710332480671,80.9688914499886,83.4440534972818,73.9958545958629,75.412090623379,-8.93437367688341,-6.05983297273002,-9.80263020681132,-5.1915764428021,FALSE,"primary","model"
28,126880,0.0841167382690389,0.0778719403951482,-0.00624479787389065,0.925760342086526,0.000655279096994901,0.000381539262816965,0.000764721848064315,0.00928404053865368,0.0828412871228908,0.0854099979611364,0.0771274168477743,0.0786230386612876,-0.00774362515428762,-0.00474597059349368,0.909067188530185,0.942760031154402,84.1167382690389,77.8719403951482,-6.24479787389065,82.8412871228908,85.4099979611364,77.1274168477743,78.6230386612876,-7.74362515428762,-4.74597059349368,-8.64906828929588,-3.84052745848542,FALSE,"primary","model"
29,120282,0.0870828590056196,0.0822461457909273,-0.00483671321469237,0.944458493095866,0.000647192203711574,0.000382948959835974,0.000759679445480896,0.00886189770485962,0.085822714670065,0.0883597177887237,0.081498690717408,0.0829998365900522,-0.00632565756763028,-0.00334776886175445,0.928195835111861,0.961006084533245,87.0828590056196,82.2461457909273,-4.83671321469237,85.822714670065,88.3597177887237,81.498690717408,82.9998365900522,-6.32565756763028,-3.34776886175445,-7.22513041577587,-2.44829601360886,FALSE,"primary","model"
30,111577,0.0893970126709254,0.0861862045339396,-0.00321080813698577,0.96408372001417,0.000626141898519014,0.000371915856199099,0.000737359173658878,0.00833111912144406,0.0881773697928123,0.0906318484926842,0.0854600492315278,0.0869179435769684,-0.00465600556102738,-0.00176561071294415,0.948469320811542,0.979955174935006,89.3970126709254,86.1862045339396,-3.21080813698577,88.1773697928123,90.6318484926842,85.4600492315277,86.9179435769684,-4.65600556102738,-1.76561071294415,-5.52905084345882,-0.892565430512711,FALSE,"primary","model"
31,102027,0.0919375822154676,0.0904717944599536,-0.00146578775551398,0.984056707603223,0.000637826077546765,0.000374978799471359,0.00075017495545173,0.00819463520865889,0.0906950814427787,0.0931953603555897,0.0897395327865632,0.0912094325644486,-0.00293610365030331,4.52813927534989e-06,0.96837783370405,0.999989436018876,91.9375822154676,90.4717944599536,-1.46578775551398,90.6950814427787,93.1953603555897,89.7395327865632,91.2094325644486,-2.93610365030331,0.00452813927534989,-3.82432302730714,0.89274751627918,FALSE,"primary","model"
32,91764,0.0951086272246432,0.0954570871557661,0.000348459931122855,1.0036638099118,0.000705533092607863,0.000411612121211248,0.000827727997390413,0.00869471336470087,0.0937347750683323,0.0965004715205317,0.094653385862155,0.0962668870419214,-0.00127385713275782,0.00197077699500353,0.986704959736355,1.02091413789571,95.1086272246432,95.4570871557661,0.348459931122855,93.7347750683323,96.5004715205317,94.653385862155,96.2668870419214,-1.27385713275782,1.97077699500353,-2.25390057572776,2.95082043797347,FALSE,"primary","model"
33,81398,0.0981358392413481,0.100306949211009,0.00217110996966052,1.02212351763071,0.00081216137190103,0.000476679923565499,0.000952629571565259,0.00965266909735982,0.0965554970633603,0.0997391916311858,0.0993765319780725,0.101245098247083,0.000303990318784793,0.00403822962053625,1.00296785481832,1.04164503406046,98.1358392413481,100.306949211009,2.17110996966052,96.5554970633603,99.7391916311858,99.3765319780725,101.245098247083,0.303990318784793,4.03822962053625,-0.823938624219709,5.16615856354075,FALSE,"primary","model"
34,70747,0.101609984671699,0.105532771919595,0.00392278724789651,1.03860631669782,0.000923946550312958,0.000549831309281316,0.00108601636533727,0.0105836878432299,0.0998133408362327,0.103435252199678,0.104459965242706,0.106615284671286,0.00179423428521437,0.00605134021057864,1.01728375235414,1.06037580821315,101.609984671699,105.532771919595,3.92278724789651,99.8133408362327,103.435252199678,104.459965242706,106.615284671286,1.79423428521437,6.05134021057864,0.508373203841739,7.33720129195127,FALSE,"primary","model"
35,59784,0.10528426801708,0.110798711722461,0.00551444370538108,1.05237671125269,0.00100785730933874,0.000608008793533768,0.00118840139854206,0.011137828067043,0.10332519143199,0.107276045379939,0.109612634395413,0.111996008831249,0.00318521976506161,0.00784366764570055,1.02965253316262,1.07560240636256,105.28426801708,110.798711722461,5.51444370538108,103.32519143199,107.276045379939,109.612634395413,111.996008831249,3.18521976506161,7.84366764570055,1.77813313523953,9.25075427552264,FALSE,"primary","model"
36,50300,0.109904400020247,0.116793753470187,0.00688935344993995,1.06268496483008,0.00106206489009396,0.000643142916596518,0.00125358272261524,0.011226441574148,0.107840005051257,0.112003352682831,0.115539107397262,0.11806020521492,0.00443237646197242,0.00934633043790748,1.03955763328182,1.08632681663909,109.904400020247,116.793753470187,6.88935344993995,107.840005051257,112.003352682831,115.539107397262,118.06020521492,4.43237646197242,9.34633043790748,2.94811408182726,10.8305928180526,FALSE,"primary","model"
