age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000,model_id
35,1335627,0.0820670669990362,0.0960186411423976,0.0139515741433614,1.17000210502863,9.91197354305714e-05,0.000541577030686463,0.000551215912877057,0.00577598684519794,0.0818730051532915,0.0822615476125034,0.0949624009896194,0.0970853692962079,0.012871210806417,0.0150319374803058,1.15683152249339,1.18332263527962,82.0670669990362,96.0186411423976,13.9515741433614,81.8730051532915,82.2615476125034,94.9624009896194,97.0853692962079,12.871210806417,15.0319374803058,12.2132799477907,15.689868338932,supp_3lvl_continued_vs_none
36,1115405,0.0842886355711246,0.100265932545233,0.0159772969741087,1.1895545807077,0.000103964490986235,0.000571489958890571,0.000581571346001601,0.00583994478129638,0.0840850924162807,0.084492625986452,0.0991513788607503,0.10139160473805,0.014837438081505,0.0171171558667123,1.17601646906534,1.20324854090461,84.2886355711246,100.265932545233,15.9772969741087,84.0850924162807,84.492625986452,99.1513788607503,101.39160473805,14.837438081505,17.1171558667123,14.1432750029573,17.81131894526,supp_3lvl_continued_vs_none
37,892004,0.0871086138724554,0.104864294351247,0.017755680478792,1.20383380804096,0.000108225221668376,0.000601897872401425,0.000612293977023323,0.00588118205603885,0.0868967298235681,0.0873209651600007,0.103690440924166,0.10604986435739,0.0165556063358755,0.0189557546217086,1.19003700009186,1.21779057060456,87.1086138724554,104.864294351247,17.755680478792,86.8967298235681,87.3209651600008,103.690440924166,106.04986435739,16.5556063358755,18.9557546217086,15.8247727502993,19.6865882072848,supp_3lvl_continued_vs_none
38,695220,0.0905059109150351,0.109813529294857,0.019307618379822,1.21332991607529,0.000118315086163982,0.00067479441865165,0.000685766058831795,0.00628986167783514,0.0902742849665356,0.090738071892436,0.108497921750226,0.11114310063121,0.0179635416026918,0.0206516951569523,1.1984639248618,1.22838030807897,90.5059109150351,109.813529294857,19.3076183798221,90.2742849665356,90.738071892436,108.497921750226,111.14310063121,17.9635416026918,20.6516951569523,17.1450118009141,21.47022495873,supp_3lvl_continued_vs_none
39,531638,0.0940970211946811,0.114687439280554,0.0205904180858727,1.21882114677437,0.000141090473780156,0.000830237725601746,0.000842629679115798,0.00739794695924206,0.0938208528403592,0.0943739178086194,0.113070224484155,0.11632475100878,0.0189388942625012,0.0222419419092442,1.20127610052047,1.23662244439957,94.0970211946811,114.687439280554,20.5904180858727,93.8208528403592,94.3739178086194,113.070224484155,116.32475100878,18.9388942625012,22.2419419092442,17.9331321730307,23.2477039987146,supp_3lvl_continued_vs_none
40,379398,0.0986576828724017,0.120402784347017,0.0217451014746151,1.22040961070147,0.000181601288095901,0.00109042520962125,0.00110576140566343,0.00924484517697813,0.0983023222239643,0.0990141870790311,0.118281908757387,0.122556402795361,0.0195778489440204,0.0239123540052098,1.19849545816068,1.24272445736113,98.6576828724017,120.402784347017,21.7451014746151,98.3023222239643,99.0141870790311,118.281908757387,122.556402795361,19.5778489440204,23.9123540052098,18.2580130429365,25.2321899062937,supp_3lvl_continued_vs_none
41,257682,0.103190970145629,0.12581395170684,0.0226229815612107,1.21923412028479,0.000238658616616959,0.00144326749947031,0.00146304308896067,0.011703961685218,0.102724145155326,0.103659671513326,0.123012316403972,0.128670033150345,0.0197554697990176,0.0254904933234039,1.19158403995958,1.24752580616727,103.190970145629,125.81395170684,22.6229815612107,102.724145155326,103.659671513326,123.012316403972,128.670033150345,19.7554697990176,25.4904933234039,18.009182775657,27.2367803467644,supp_3lvl_continued_vs_none
42,164620,0.108320015989848,0.131679512430471,0.0233594964406231,1.21565263102262,0.000311728919564172,0.0018828753081851,0.00190857141658433,0.0145862542303712,0.107710550604832,0.10893250894199,0.128032812021533,0.13541394986108,0.0196187652021953,0.027100227679051,1.18139098430383,1.25090790343476,108.320015989848,131.679512430471,23.3594964406231,107.710550604832,108.93250894199,128.032812021533,135.41394986108,19.6187652021953,27.100227679051,17.3406959347304,29.3782969465159,supp_3lvl_continued_vs_none
43,97642,0.113015521734019,0.136834746085945,0.0238192243519259,1.21076064585167,0.000396762432986149,0.0023848367819248,0.00241757269544466,0.0177782786093137,0.11224021305928,0.113795499434379,0.132227370916617,0.141576470055301,0.019080868938847,0.0285575797650049,1.16929851509693,1.25369298140403,113.015521734019,136.834746085945,23.8192243519259,112.24021305928,113.795499434379,132.227370916617,141.576470055301,19.080868938847,28.5575797650049,16.1952561650735,31.4431925387783,supp_3lvl_continued_vs_none
44,54163,0.118501705271244,0.142739714196929,0.0242380089256849,1.2045372163228,0.000495094975644829,0.00295496509201894,0.00299598646292102,0.021117751266187,0.117534770636315,0.119475517696762,0.137045438688285,0.148629838146872,0.0183659833601902,0.0301100344911796,1.15569906089685,1.25543920091164,118.501705271244,142.739714196929,24.2380089256849,117.534770636315,119.475517696762,137.045438688285,148.629838146872,18.3659833601902,30.1100344911796,14.7899763909904,33.6860414603794,supp_3lvl_continued_vs_none
