lower,upper,lower_closed,upper_closed,kind,classification,model_id,covariance
30.4122217031562,33.6211623429611,TRUE,TRUE,interval,zero_compatible,age_spec_fewer_age_knots,model
33.6211623429611,43.0478635175617,FALSE,FALSE,interval,strict_positive,age_spec_fewer_age_knots,model
43.0478635175617,45,TRUE,TRUE,interval,zero_compatible,age_spec_fewer_age_knots,model
15,15.9352836315419,TRUE,TRUE,interval,zero_compatible,age_spec_shifted_age_knots,HC0
15.9352836315419,30.3485886551886,FALSE,FALSE,interval,strict_negative,age_spec_shifted_age_knots,HC0
30.3485886551886,33.7953803460896,TRUE,TRUE,interval,zero_compatible,age_spec_shifted_age_knots,HC0
33.7953803460896,40.7312625151393,FALSE,FALSE,interval,strict_positive,age_spec_shifted_age_knots,HC0
40.7312625151393,45,TRUE,TRUE,interval,zero_compatible,age_spec_shifted_age_knots,HC0
15,15.9577503111282,TRUE,TRUE,interval,zero_compatible,age_spec_shifted_age_knots,model
15.9577503111282,30.3510089989053,FALSE,FALSE,interval,strict_negative,age_spec_shifted_age_knots,model
30.3510089989053,33.7785391090754,TRUE,TRUE,interval,zero_compatible,age_spec_shifted_age_knots,model
33.7785391090754,40.7759881673675,FALSE,FALSE,interval,strict_positive,age_spec_shifted_age_knots,model
40.7759881673675,45,TRUE,TRUE,interval,zero_compatible,age_spec_shifted_age_knots,model
15,17.1704818624271,TRUE,TRUE,interval,zero_compatible,age_spec_more_age_knots,HC0
17.1704818624271,30.1212479493,FALSE,FALSE,interval,strict_negative,age_spec_more_age_knots,HC0
30.1212479493,33.9849255788154,TRUE,TRUE,interval,zero_compatible,age_spec_more_age_knots,HC0
33.9849255788154,40.4981527709023,FALSE,FALSE,interval,strict_positive,age_spec_more_age_knots,HC0
40.4981527709023,45,TRUE,TRUE,interval,zero_compatible,age_spec_more_age_knots,HC0
15,17.185585796999,TRUE,TRUE,interval,zero_compatible,age_spec_more_age_knots,model
17.185585796999,30.1237665315897,FALSE,FALSE,interval,strict_negative,age_spec_more_age_knots,model
30.1237665315897,33.9669159634418,TRUE,TRUE,interval,zero_compatible,age_spec_more_age_knots,model
33.9669159634418,40.5369669240484,FALSE,FALSE,interval,strict_positive,age_spec_more_age_knots,model
40.5369669240484,45,TRUE,TRUE,interval,zero_compatible,age_spec_more_age_knots,model
15,16.5860615617211,TRUE,TRUE,interval,zero_compatible,age_spec_age_by_bmi_nuisance,HC0
16.5860615617211,30.447233233939,FALSE,FALSE,interval,strict_negative,age_spec_age_by_bmi_nuisance,HC0
30.447233233939,33.9297359065573,TRUE,TRUE,interval,zero_compatible,age_spec_age_by_bmi_nuisance,HC0
33.9297359065573,40.6712148237542,FALSE,FALSE,interval,strict_positive,age_spec_age_by_bmi_nuisance,HC0
40.6712148237542,45,TRUE,TRUE,interval,zero_compatible,age_spec_age_by_bmi_nuisance,HC0
15,16.6139349829021,TRUE,TRUE,interval,zero_compatible,age_spec_age_by_bmi_nuisance,model
16.6139349829021,30.451093882218,FALSE,FALSE,interval,strict_negative,age_spec_age_by_bmi_nuisance,model
30.451093882218,33.9192068274425,TRUE,TRUE,interval,zero_compatible,age_spec_age_by_bmi_nuisance,model
33.9192068274425,40.7037342417034,FALSE,FALSE,interval,strict_positive,age_spec_age_by_bmi_nuisance,model
40.7037342417034,45,TRUE,TRUE,interval,zero_compatible,age_spec_age_by_bmi_nuisance,model
