age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000,contrast,covariance,model_id,fit_n
30,111577,0.089423393813269,0.086187939455918,-0.003235454357351,0.963818703144871,0.000626869202591123,0.000372471561417081,0.000738894533769404,0.00834680374230519,0.0882023405241439,0.0906596703319994,0.0854607032534401,0.08692077597201,-0.00468366103191254,-0.00178724768278945,0.948179447473452,0.979715912433199,89.423393813269,86.187939455918,-3.235454357351,88.2023405241439,90.6596703319994,85.4607032534401,86.92077597201,-4.68366103191254,-1.78724768278945,-5.56560493752245,-0.905303777179539,primary,HC0,primary_main,1980559
31,102027,0.0919984478439311,0.090485260088694,-0.00151318775523708,0.983552029510279,0.000638034259324555,0.000375105691302483,0.000751030494990527,0.00819973941893523,0.0907555383640284,0.0932566332967555,0.0897527510795732,0.0912231482703957,-0.0029851804767098,-4.11950337643591e-05,0.967871513893869,0.999486585633582,91.9984478439311,90.485260088694,-1.51318775523708,90.7555383640284,93.2566332967555,89.7527510795732,91.2231482703957,-2.9851804767098,-0.0411950337643591,-3.881609855616,0.855234345141836,primary,HC0,primary_main,1980559
32,91764,0.0952000999554994,0.0954817221378793,0.000281622182379884,1.00295821309549,0.000703755170694507,0.000410346751230805,0.00082612008230354,0.00867106180268059,0.093829677755008,0.0965884042968344,0.0946804813765855,0.0962890222852033,-0.00133754342584032,0.00190078779060009,0.986056994154606,1.02014912239238,95.2000999554995,95.4817221378793,0.281622182379884,93.829677755008,96.5884042968345,94.6804813765855,96.2890222852033,-1.33754342584032,1.90078779060009,-2.32359967418299,2.88684403894276,primary,HC0,primary_main,1980559
33,81398,0.0982475346791754,0.10034034636701,0.00209281168783416,1.02130141682097,0.000808989463448414,0.000474255556272848,0.000949112967169352,0.00960810288643679,0.0966733054967751,0.099844565220277,0.0994146402550926,0.101273702932446,0.000232584454922289,0.00395303892074604,1.00224870180183,1.04071632332906,98.2475346791754,100.34034636701,2.09281168783416,96.6733054967751,99.844565220277,99.4146402550926,101.273702932446,0.232584454922289,3.95303892074604,-0.900275999275605,5.08589937494394,primary,HC0,primary_main,1980559
34,70747,0.101723499697904,0.105569176497761,0.0038456767998571,1.03780519556718,0.000921772693512292,0.00054749356405432,0.00108325770312489,0.0105472946963528,0.0999310316720308,0.103544420578063,0.104500908768805,0.106647064126492,0.00172253071575674,0.00596882288395747,1.01657158693242,1.05948232056758,101.723499697904,105.569176497761,3.8456767998571,99.9310316720308,103.544420578063,104.500908768806,106.647064126492,1.72253071575674,5.96882288395747,0.429555215447873,7.26179838426633,primary,HC0,primary_main,1980559
35,59784,0.105372900232781,0.110829403394104,0.0054565031613234,1.05178279376642,0.00100973325870858,0.000607676178151265,0.0011899892072636,0.0111453904718811,0.103410191718132,0.10736839964688,0.109643970074186,0.112026040622896,0.00312416717309538,0.00778883914955142,1.02905618742772,1.07501131500731,105.372900232781,110.829403394104,5.4565031613234,103.410191718132,107.36839964688,109.643970074186,112.026040622896,3.12416717309538,7.78883914955142,1.70379703754472,9.20920928510209,primary,HC0,primary_main,1980559
36,50300,0.109934097902184,0.116806856180599,0.00687275827841566,1.06251707531662,0.00107002006661524,0.000646096296531157,0.00126188806273827,0.0112989794684943,0.107854363985585,0.112048898166345,0.115546474981841,0.11807915015847,0.00439950312292764,0.00934601343390368,1.03924563578543,1.0863096235051,109.934097902184,116.806856180599,6.87275827841566,107.854363985585,112.048898166345,115.546474981841,118.07915015847,4.39950312292764,9.34601343390368,2.89331457282905,10.8522019840023,primary,HC0,primary_main,1980559
37,39582,0.114727825517672,0.122786785160423,0.00805895964275044,1.07024415922107,0.00114378283175907,0.000682548647784611,0.00134361920025371,0.0115111609749515,0.112505044715945,0.116988733222847,0.12145526969125,0.124130835558366,0.00542551440131666,0.0106924048841842,1.04636823803477,1.09466487868371,114.727825517672,122.786785160423,8.05895964275044,112.505044715945,116.988733222847,121.45526969125,124.130835558366,5.42551440131666,10.6924048841842,3.82177163294204,12.2961476525588,primary,HC0,primary_main,1980559
38,30385,0.119871294335853,0.128882283063629,0.00901098872777577,1.07517219846254,0.00130884464061422,0.00076488748359412,0.00152612729233371,0.0125077243554464,0.117329623461142,0.122460385693136,0.127390545609516,0.130388878528413,0.00601983419897806,0.0120021432565735,1.04913513531161,1.10185544019876,119.871294335853,128.882283063629,9.01098872777577,117.329623461142,122.460385693136,127.390545609516,130.388878528413,6.01983419897806,12.0021432565735,4.19824992254231,13.8237275330092,primary,HC0,primary_main,1980559
39,22837,0.124838839868553,0.134554208271814,0.00971536840326133,1.07782328331063,0.00162956992313922,0.000939992770824542,0.00189002259162895,0.0148716315314599,0.121679812600776,0.128067922705741,0.132722485046622,0.136407235313591,0.00601099219370154,0.0134197446128211,1.04686048066252,1.10970186715934,124.838839868553,134.554208271814,9.71536840326133,121.679812600776,128.067922705741,132.722485046621,136.407235313591,6.01099219370154,13.4197446128211,3.75506278839292,15.6756740181297,primary,HC0,primary_main,1980559
